REQUEST_TIME,DEVICE_ID,GEO_LAT,GEO_LON,IP
11/10/2024 8:16,1,50.9341,4.0392,185.134.25.243
10/5/2024 8:17,1,50.8729,4.4038,81.246.0.90
11/23/2024 8:28,1,55.7386,37.6068,92.63.196.91
11/23/2024 9:35,1,33.8333,35.8333,194.146.152.3
11/22/2024 10:10,1,50.6818,4.1299,185.77.76.18
11/23/2024 10:13,1,50.8509,4.3447,45.85.29.129
11/25/2024 10:19,1,51.0086,3.883,81.243.49.43
11/4/2024 10:20,1,50.3990 ,3.0926,92.63.196.91
11/22/2024 10:43,1,50.8304,5.3954267,81.243.3.27
11/18/2024 11:17,1,50.3361,4.8185,81.245.9.166
5/23/2024 12:53,1,50.3078,5.3624,104.238.169.5
7/5/2024 13:10,1,50.4496,5.02884,81.243.27.230
2/23/2024 14:58,1,50.5206,5.5477,81.243.5.66
11/23/2024 16:06,1,50.8559,4.8964,81.245.55.229
11/23/2024 16:24,1,51.2000 ,3.46082,81.244.47.131
11/14/2024 16:35,1,51.02412,2.863456,92.63.196.91
11/23/2024 17:16,1,50.22917,5.4750221,81.243.5.66
5/20/2024 17:46,1,50.73825,3.89078,81.241.43.177
8/10/2024 18:13,1,50.615581,5.6676,81.245.24.218
3/3/2024 18:15,1,50.72865,4.43046,81.244.47.131
11/13/2023 18:41,1,50.6038,5.4108,81.242.16.58
11/21/2024 19:32,1,50.619728,4.30551,81.246.0.90
8/25/2024 19:41,1,50.49679424247093,4.219371071806307,81.245.9.166
1/25/2024 20:12,1,50.851426,4.3783,81.242.37.73
9/20/2024 21:24,1,50.851426,4.3783,81.245.24.218
3/16/2024 22:01,1,50.05630097200855,4.312721606627771,103.86.99.40
5/19/2024 22:53,1,51.24173940814896,5.039555654479286,81.241.59.135
11/23/2024 23:07,1,51.25068992704682,3.007371396704971,81.243.33.239
11/23/2024 23:45,1,50.8509,4.3447,45.85.29.129
11/19/2024 0:09,1,50.11115,3.738834,81.240.34.19
11/9/2024 0:11,1,50.08024,3.332732,104.238.169.5
11/4/2024 0:52,1,50.40922,5.88127,81.245.37.57
11/15/2024 0:59,1,50.321013332299586,5.79300539286152,81.242.26.77
10/10/2024 1:04,1,49.88763,5.231156,139.28.7.137
10/5/2024 1:19,1,50.703879,4.7702279842012585,81.245.55.229
9/20/2024 1:40,1,50.86399401861224,5.619563486082386,81.245.55.229
12/25/2024 2:21,1,50.22810560058087,5.311662957842973,81.246.31.227
12/1/2024 2:45,1,51.05454643823417,4.118239941380136,81.243.33.239
12/20/2024 2:56,1,50.48119021167836,4.889129617393208,91.206.250.4
3/20/2025 3:39,1,50.66188679428165,4.220086315564411,81.245.9.166
5/9/2025 4:03,1,37.7749,-122.4194,172.92.148.188
9/13/2025 4:49,1,50.4646,4.8664,172.92.148.188
9/17/2025 4:55,1,50.8463,4.351442,172.92.148.188
4/15/2025 5:03,1,50.94816,3.33953,81.246.31.227
2/27/2025 5:05,1,50.86411,4.00885,81.240.10.111
1/24/2025 5:07,1,50.8535,4.4343,194.146.152.3
5/20/2025 7:12,1,49.779113,5.200525,81.245.2.145
7/15/2025 7:23,1,49.75474,4.94146,81.245.2.145
10/10/2025 7:23,1,51.2723,5.8107,81.245.10.203
11/1/2025 7:45,1,51.01139,5.4939,193.109.126.5
