REQUEST_TIME,DEVICE_ID,GEO_LAT,GEO_LON,IP,domain_name,CLASSIFICATION_BY_DOMAIN,domain_country,GEO_country,CLASSIFICATION_BY_COUNTRY_MISMATCH,GEO_CLUSTER
2023-11-13 18:41:00,1,50.6038,5.4108,81.242.16.58,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-01-25 20:12:00,1,50.851426,4.3783,81.242.37.73,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-02-23 14:58:00,1,50.5206,5.5477,81.243.5.66,adsl-static.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-03-03 18:15:00,1,50.72865,4.43046,81.244.47.131,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-03-16 22:01:00,1,50.05630097200855,4.312721606627771,103.86.99.40,unknown_domain,uncertain,unknown_domain,be,uncertain,1
2024-05-19 22:53:00,1,51.24173940814896,5.039555654479286,81.241.59.135,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-05-20 17:46:00,1,50.73825,3.89078,81.241.43.177,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-05-23 12:53:00,1,50.3078,5.3624,104.238.169.5,choopa.net,VPN,net,be,VPN,0
2024-07-05 13:10:00,1,50.4496,5.02884,81.243.27.230,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-08-10 18:13:00,1,50.615581,5.6676,81.245.24.218,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-08-25 19:41:00,1,50.49679424247093,4.219371071806307,81.245.9.166,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-09-20 01:40:00,1,50.86399401861224,5.619563486082386,81.245.55.229,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-09-20 21:24:00,1,50.851426,4.3783,81.245.24.218,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-10-05 01:19:00,1,50.703879,4.7702279842012585,81.245.55.229,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-10-05 08:17:00,1,50.8729,4.4038,81.246.0.90,adsl-static.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-10-10 01:04:00,1,49.88763,5.231156,139.28.7.137,unknown_domain,uncertain,unknown_domain,be,uncertain,0
2024-11-04 00:52:00,1,50.40922,5.88127,81.245.37.57,adsl-dyn.isp.belgacom.be,Non-VPN,be,be,Non-VPN,0
2024-11-04 10:20:00,1,50.399,3.0926,92.63.196.91,unknown_domain,uncertain,unknown_domain,fr,VPN,1
2024-11-09 00:11:00,1,50.08024,3.332732,104.238.169.5,choopa.net,VPN,net,fr,VPN,1
2024-11-10 08:16:00,1,50.9341,4.0392,185.134.25.243,unknown_domain,uncertain,unknown_domain,be,uncertain,0
2024-11-14 16:35:00,1,51.02412,2.863456,92.63.196.91,unknown_domain,uncertain,unknown_domain,be,VPN,0
