REQUEST_TIME,DEVICE_IP,ID,USER_ID,ID_TYPE,OPERATING_SYSTEM,has_multiple_devices
2024-10-01 09:17:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 09:19:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 09:22:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 09:27:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 09:36:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 09:55:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 10:02:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 10:10:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 10:11:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 10:30:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 10:34:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 12:47:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 12:47:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 13:00:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 13:05:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 13:41:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 15:06:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 15:19:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 15:36:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 15:58:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-01 16:20:00,2a02:9b0:8014::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-02 09:42:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-02 11:15:00,2a00:5400:e266::,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
2024-10-02 13:00:00,82.167.216.0,AAA7PE7OD50AABQ_9xhR4Q,7,WEB_ID,android,1
